Module 	X	Y	Z			
481	-245.550	857.000	3028.500			
482	-289.150	857.000	3028.500			
483	-332.750	857.000	3028.500			
484	-376.350	857.000	3028.500			
485	-419.950	857.000	3028.500			
486	-463.550	857.000	3028.500			
487	-507.150	857.000	3028.500			
488	-550.750	857.000	3028.500			
489	-594.350	857.000	3028.500			
490	-637.950	857.000	3028.500			
491	-681.550	857.000	3028.500			
492	-725.150	857.000	3028.500			
493	-27.550	771.300	3028.500			
494	-71.150	771.300	3028.500			
495	-114.750	771.300	3028.500			
496	-158.350	771.300	3028.500			
497	-201.950	771.300	3028.500			
498	-245.550	771.300	3028.500			
499	-289.150	771.300	3028.500			
500	-332.750	771.300	3028.500			
501	-376.350	771.300	3028.500			
502	-419.950	771.300	3028.500			
503	-463.550	771.300	3028.500			
504	-507.150	771.300	3028.500			
505	-550.750	771.300	3028.500			
506	-594.350	771.300	3028.500			
507	-637.950	771.300	3028.500			
508	-681.550	771.300	3028.500			
509	-725.150	771.300	3028.500			
510	-768.750	771.300	3028.500			
511	-812.350	771.300	3028.500			
512	-27.550	685.600	3028.500			
513	-71.150	685.600	3028.500			
514	-114.750	685.600	3028.500			
515	-158.350	685.600	3028.500			
516	-201.950	685.600	3028.500			
517	-245.550	685.600	3028.500			
518	-289.150	685.600	3028.500			
519	-332.750	685.600	3028.500			
520	-376.350	685.600	3028.500			
521	-419.950	685.600	3028.500			
522	-463.550	685.600	3028.500			
523	-507.150	685.600	3028.500			
524	-550.750	685.600	3028.500			
525	-594.350	685.600	3028.500			
526	-637.950	685.600	3028.500			
527	-681.550	685.600	3028.500			
528	-725.150	685.600	3028.500			
529	-768.750	685.600	3028.500			
530	-812.350	685.600	3028.500			
531	-855.950	685.600	3028.500			
532	-899.550	685.600	3028.500			
533	-27.550	599.900	3028.500			
534	-71.150	599.900	3028.500			
535	-114.750	599.900	3028.500			
536	-158.350	599.900	3028.500			
537	-201.950	599.900	3028.500			
538	-245.550	599.900	3028.500			
539	-289.150	599.900	3028.500			
540	-332.750	599.900	3028.500			
541	-376.350	599.900	3028.500			
542	-419.950	599.900	3028.500			
543	-463.550	599.900	3028.500			
544	-507.150	599.900	3028.500			
545	-550.750	599.900	3028.500			
546	-594.350	599.900	3028.500			
547	-637.950	599.900	3028.500			
548	-681.550	599.900	3028.500			
549	-725.150	599.900	3028.500			
550	-768.750	599.900	3028.500			
551	-812.350	599.900	3028.500			
552	-855.950	599.900	3028.500			
553	-899.550	599.900	3028.500			
554	-943.150	599.900	3028.500			
555	-27.550	514.200	3028.500			
556	-71.150	514.200	3028.500			
557	-114.750	514.200	3028.500			
558	-158.350	514.200	3028.500			
559	-201.950	514.200	3028.500			
560	-245.550	514.200	3028.500			
561	-289.150	514.200	3028.500			
562	-332.750	514.200	3028.500			
563	-376.350	514.200	3028.500			
564	-419.950	514.200	3028.500			
565	-463.550	514.200	3028.500			
566	-507.150	514.200	3028.500			
567	-550.750	514.200	3028.500			
568	-594.350	514.200	3028.500			
569	-637.950	514.200	3028.500			
570	-681.550	514.200	3028.500			
571	-725.150	514.200	3028.500			
572	-768.750	514.200	3028.500			
573	-812.350	514.200	3028.500			
574	-855.950	514.200	3028.500			
575	-899.550	514.200	3028.500			
576	-943.150	514.200	3028.500			
577	-986.750	514.200	3028.500			
578	-27.550	428.500	3028.500			
579	-71.150	428.500	3028.500			
580	-114.750	428.500	3028.500			
581	-245.550	428.500	3028.500			
582	-289.150	428.500	3028.500			
583	-332.750	428.500	3028.500			
584	-376.350	428.500	3028.500			
585	-419.950	428.500	3028.500			
586	-463.550	428.500	3028.500			
587	-507.150	428.500	3028.500			
588	-550.750	428.500	3028.500			
589	-594.350	428.500	3028.500			
590	-637.950	428.500	3028.500			
591	-681.550	428.500	3028.500			
592	-725.150	428.500	3028.500			
593	-768.750	428.500	3028.500			
594	-812.350	428.500	3028.500			
595	-855.950	428.500	3028.500			
596	-899.550	428.500	3028.500			
597	-943.150	428.500	3028.500			
598	-289.150	342.800	3028.500			
599	-332.750	342.800	3028.500			
600	-376.350	342.800	3028.500			
601	-419.950	342.800	3028.500			
602	-463.550	342.800	3028.500			
603	-507.150	342.800	3028.500			
604	-550.750	342.800	3028.500			
605	-594.350	342.800	3028.500			
606	-637.950	342.800	3028.500			
607	-681.550	342.800	3028.500			
608	-725.150	342.800	3028.500			
609	-768.750	342.800	3028.500			
610	-812.350	342.800	3028.500			
611	-855.950	342.800	3028.500			
612	-899.550	342.800	3028.500			
613	-943.150	342.800	3028.500			
614	-986.750	342.800	3028.500			
615	-1030.350	342.800	3028.500			
616	-1073.950	342.800	3028.500			
617	-289.150	257.100	3028.500			
618	-332.750	257.100	3028.500			
619	-376.350	257.100	3028.500			
620	-419.950	257.100	3028.500			
621	-463.550	257.100	3028.500			
622	-507.150	257.100	3028.500			
623	-550.750	257.100	3028.500			
624	-594.350	257.100	3028.500			
625	-637.950	257.100	3028.500			
626	-681.550	257.100	3028.500			
627	-725.150	257.100	3028.500			
