Module 	X	Y	Z
488	-550.750	857.000	3028.5
489	-594.350	857.000	3028.5
490	-637.950	857.000	3028.5
491	-681.550	857.000	3028.5
492	-725.150	857.000	3028.5
493	-27.550	771.300	3028.5
494	-71.150	771.300	3028.5
495	-114.750	771.300	3028.5
496	-158.350	771.300	3028.5
497	-201.950	771.300	3028.5
498	-245.550	771.300	3028.5
499	-289.150	771.300	3028.5
500	-332.750	771.300	3028.5
501	-376.350	771.300	3028.5
502	-419.950	771.300	3028.5
503	-463.550	771.300	3028.5
504	-507.150	771.300	3028.5
505	-550.750	771.300	3028.5
506	-594.350	771.300	3028.5
507	-637.950	771.300	3028.5
508	-681.550	771.300	3028.5
509	-725.150	771.300	3028.5
510	-768.750	771.300	3028.5
511	-812.350	771.300	3028.5
512	-27.550	685.600	3028.5
513	-71.150	685.600	3028.5
514	-114.750	685.600	3028.5
515	-158.350	685.600	3028.5
516	-201.950	685.600	3028.5
517	-245.550	685.600	3028.5
518	-289.150	685.600	3028.5
519	-332.750	685.600	3028.5
520	-376.350	685.600	3028.5
521	-419.950	685.600	3028.5
522	-463.550	685.600	3028.5
523	-507.150	685.600	3028.5
524	-550.750	685.600	3028.5
525	-594.350	685.600	3028.5
526	-637.950	685.600	3028.5
527	-681.550	685.600	3028.5
528	-725.150	685.600	3028.5
529	-768.750	685.600	3028.5
530	-812.350	685.600	3028.5
531	-855.950	685.600	3028.5
532	-899.550	685.600	3028.5
533	-27.550	599.900	3028.5
534	-71.150	599.900	3028.5
535	-114.750	599.900	3028.5
536	-158.350	599.900	3028.5
537	-201.950	599.900	3028.5
538	-245.550	599.900	3028.5
539	-289.150	599.900	3028.5
540	-332.750	599.900	3028.5
541	-376.350	599.900	3028.5
542	-419.950	599.900	3028.5
543	-463.550	599.900	3028.5
544	-507.150	599.900	3028.5
545	-550.750	599.900	3028.5
546	-594.350	599.900	3028.5
547	-637.950	599.900	3028.5
548	-681.550	599.900	3028.5
549	-725.150	599.900	3028.5
550	-768.750	599.900	3028.5
551	-812.350	599.900	3028.5
552	-855.950	599.900	3028.5
553	-899.550	599.900	3028.5
554	-943.150	599.900	3028.5
555	-27.550	514.200	3028.5
556	-71.150	514.200	3028.5
557	-114.750	514.200	3028.5
558	-158.350	514.200	3028.5
559	-201.950	514.200	3028.5
560	-245.550	514.200	3028.5
561	-289.150	514.200	3028.5
562	-332.750	514.200	3028.5
563	-376.350	514.200	3028.5
564	-419.950	514.200	3028.5
565	-463.550	514.200	3028.5
566	-507.150	514.200	3028.5
567	-550.750	514.200	3028.5
568	-594.350	514.200	3028.5
569	-637.950	514.200	3028.5
570	-681.550	514.200	3028.5
571	-725.150	514.200	3028.5
572	-768.750	514.200	3028.5
573	-812.350	514.200	3028.5
574	-855.950	514.200	3028.5
575	-899.550	514.200	3028.5
576	-943.150	514.200	3028.5
577	-986.750	514.200	3028.5
578	-27.550	428.500	3028.5
579	-71.150	428.500	3028.5
580	-114.750	428.500	3028.5
581	-245.550	428.500	3028.5
582	-289.150	428.500	3028.5
583	-332.750	428.500	3028.5
584	-376.350	428.500	3028.5
585	-419.950	428.500	3028.5
586	-463.550	428.500	3028.5
587	-507.150	428.500	3028.5
588	-550.750	428.500	3028.5
589	-594.350	428.500	3028.5
590	-637.950	428.500	3028.5
591	-681.550	428.500	3028.5
592	-725.150	428.500	3028.5
593	-768.750	428.500	3028.5
594	-812.350	428.500	3028.5
595	-855.950	428.500	3028.5
596	-899.550	428.500	3028.5
597	-943.150	428.500	3028.5
598	-289.150	342.800	3028.5
599	-332.750	342.800	3028.5
600	-376.350	342.800	3028.5
601	-419.950	342.800	3028.5
602	-463.550	342.800	3028.5
603	-507.150	342.800	3028.5
604	-550.750	342.800	3028.5
605	-594.350	342.800	3028.5
606	-637.950	342.800	3028.5
607	-681.550	342.800	3028.5
608	-725.150	342.800	3028.5
609	-768.750	342.800	3028.5
610	-812.350	342.800	3028.5
611	-855.950	342.800	3028.5
612	-899.550	342.800	3028.5
613	-943.150	342.800	3028.5
614	-986.750	342.800	3028.5
615	-1030.350	342.800	3028.5
616	-1073.950	342.800	3028.5
617	-289.150	257.100	3028.5
618	-332.750	257.100	3028.5
619	-376.350	257.100	3028.5
620	-419.950	257.100	3028.5
621	-463.550	257.100	3028.5
622	-507.150	257.100	3028.5
623	-550.750	257.100	3028.5
624	-594.350	257.100	3028.5
625	-637.950	257.100	3028.5
626	-681.550	257.100	3028.5
627	-725.150	257.100	3028.5
628	-768.750	257.100	3028.5
629	-812.350	257.100	3028.5
630	-855.950	257.100	3028.5
631	-899.550	257.100	3028.5
632	-943.150	257.100	3028.5
633	-986.750	257.100	3028.5
634	-1030.350	257.100	3028.5
635	-1073.950	257.100	3028.5
636	-332.750	171.400	3028.5
637	-376.350	171.400	3028.5
638	-419.950	171.400	3028.5
639	-463.550	171.400	3028.5
640	-507.150	171.400	3028.5
641	-550.750	171.400	3028.5
642	-594.350	171.400	3028.5
643	-637.950	171.400	3028.5
644	-681.550	171.400	3028.5
645	-725.150	171.400	3028.5
646	-768.750	171.400	3028.5
647	-812.350	171.400	3028.5
648	-855.950	171.400	3028.5
649	-899.550	171.400	3028.5
650	-943.150	171.400	3028.5
651	-986.750	171.400	3028.5
652	-1030.350	171.400	3028.5
653	-1073.950	171.400	3028.5
654	-463.550	85.700	3028.5
655	-507.150	85.700	3028.5
656	-550.750	85.700	3028.5
657	-594.350	85.700	3028.5
658	-637.950	85.700	3028.5
659	-681.550	85.700	3028.5
660	-725.150	85.700	3028.5
661	-768.750	85.700	3028.5
662	-812.350	85.700	3028.5
663	-855.950	85.700	3028.5
664	-899.550	85.700	3028.5
665	-943.150	85.700	3028.5
666	-986.750	85.700	3028.5
667	-1030.350	85.700	3028.5
668	-1073.950	85.700	3028.5
669	-463.550	0.000	3028.5
670	-507.150	0.000	3028.5
671	-550.750	0.000	3028.5
672	-594.350	0.000	3028.5
673	-637.950	0.000	3028.5
674	-681.550	0.000	3028.5
675	-725.150	0.000	3028.5
676	-768.750	0.000	3028.5
677	-812.350	0.000	3028.5
678	-855.950	0.000	3028.5
679	-899.550	0.000	3028.5
680	-943.150	0.000	3028.5
681	-986.750	0.000	3028.5
682	-1030.350	0.000	3028.5
683	-1073.950	0.000	3028.5
684	-376.350	-85.700	3028.5
685	-419.950	-85.700	3028.5
686	-463.550	-85.700	3028.5
687	-507.150	-85.700	3028.5
688	-550.750	-85.700	3028.5
689	-594.350	-85.700	3028.5
690	-637.950	-85.700	3028.5
691	-681.550	-85.700	3028.5
692	-725.150	-85.700	3028.5
693	-768.750	-85.700	3028.5
694	-812.350	-85.700	3028.5
695	-855.950	-85.700	3028.5
696	-899.550	-85.700	3028.5
697	-943.150	-85.700	3028.5
698	-986.750	-85.700	3028.5
699	-1030.350	-85.700	3028.5
700	-1073.950	-85.700	3028.5
701	-332.750	-171.400	3028.5
702	-376.350	-171.400	3028.5
703	-419.950	-171.400	3028.5
704	-463.550	-171.400	3028.5
705	-507.150	-171.400	3028.5
706	-550.750	-171.400	3028.5
707	-594.350	-171.400	3028.5
708	-637.950	-171.400	3028.5
709	-681.550	-171.400	3028.5
710	-725.150	-171.400	3028.5
711	-768.750	-171.400	3028.5
712	-812.350	-171.400	3028.5
713	-855.950	-171.400	3028.5
714	-899.550	-171.400	3028.5
715	-943.150	-171.400	3028.5
716	-986.750	-171.400	3028.5
